#id arrival runtime priority memsize
1	1	14	7	8
2	1	14	1	8
3	1	20	7	8
4	1	0	2	8
5	1	2	4	8
6	1	1	5	8
7	1	4	1	8
8	1	28	0	8
9	1	12	1	8
10	1	18	8	8
11	1	28	2	8
12	1	21	9	8
13	1	7	7	8
14	1	7	1	8
15	1	11	3	8
16	1	19	5	8
17	1	10	5	8
18	1	13	7	8
19	1	18	2	8
20	1	8	0	8
21	1	19	3	8
22	1	21	2	8
23	1	11	4	8
24	1	21	8	8
25	1	22	1	8
26	1	7	1	8
27	1	5	3	8
28	1	28	0	8
29	1	0	7	8
30	1	14	7	8
31	1	14	5	8
32	1	20	7	8
33	1	29	3	8
34	1	16	6	8
35	1	1	9	8
36	1	22	10	8
37	1	18	0	8
38	1	6	3	8
39	1	8	1	8
40	1	28	6	8
41	1	28	1	8
42	1	5	1	8
43	1	25	7	8
44	1	7	10	8
45	1	1	9	8
46	1	7	9	8
47	1	17	4	8
48	1	1	8	8
49	1	15	6	8
50	1	18	3	8
51	1	4	8	8
52	1	28	5	8
53	1	29	0	8
54	1	27	9	8
55	1	1	4	8
56	1	0	10	8
57	1	0	10	8
58	1	24	5	8
59	1	1	8	8
60	1	12	7	8
61	1	7	9	8
62	1	1	6	8
63	1	1	8	8
64	1	25	0	8
65	1	3	5	8
66	1	24	6	8
67	1	8	10	8
68	1	13	7	8
69	1	19	2	8
70	1	8	10	8
71	1	27	5	8
72	1	4	9	8
73	1	28	8	8
74	1	6	10	8
75	1	14	6	8
76	1	7	9	8
77	1	22	9	8
78	1	29	7	8
79	1	24	4	8
80	1	1	5	8
81	1	1	4	8
82	1	5	7	8
83	1	2	8	8
84	1	9	2	8
85	1	13	2	8
86	1	17	4	8
87	1	10	9	8
88	1	14	0	8
89	1	4	2	8
90	1	13	0	8
91	1	23	1	8
92	1	23	2	8
93	1	20	9	8
94	1	1	1	8
95	1	17	0	8
96	1	11	9	8
97	1	4	5	8
98	1	20	6	8
99	1	11	3	8
100	1	11	1	8
101	1	1	6	8
102	1	18	1	8
103	1	12	4	8
104	1	25	7	8
105	1	15	7	8
106	1	26	2	8
107	1	20	1	8
108	1	8	3	8
109	1	12	8	8
110	1	16	2	8
111	1	27	8	8
112	1	10	8	8
113	1	28	3	8
114	1	22	2	8
115	1	13	8	8
116	1	25	10	8
117	1	24	4	8
118	1	9	4	8
119	1	16	8	8
120	1	23	3	8
121	1	4	4	8
122	1	15	8	8
123	1	1	6	8
124	1	26	3	8
125	1	26	0	8
126	1	27	9	8
127	1	2	3	8
128	1	8	6	8
